Token,Frequency
اسرائیل,5261
طراحی,5233
نتیجه,8112
گل,5205
می‌کرد,5198
کمک,8384
می‌گردد,5179
گفت,5170
پیدا,8967
شعر,5161
علت,9860
درصد,8258
پزشکی,5457
میلاد,5156
حرکت,5144
ویکی,5130
استاد,5108
نزدیک,5108
خارج,5781
قمری,5062
انواع,5051
گذشته,6746
م,5245
سایر,5343
واحد,5542
رشد,5027
هند,5023
چین,5020
سده,4996
انجمن,4996
مرد,4984
ندارد,6581
شناخته,4981
برد,5079
زمینه,5069
رویدادها,4965
رود,5762
طرف,5054
اقتصادی,4953
روسیه,4942
باشند,6239
پایگاه,4931
اسپانیا,4929
مي,4925
ویژه,5024
فقط,6220
دانشکده,4918
سرعت,4903
وزیر,4897
کم,6982
حالت,7074
پی,5568
تر,4864
شرق,4849
زنده,4848
بیماری,4819
قرآن,4803
اکنون,4901
اندازه,5075
بررسی,11061
مدرسه,4749
آمده,6320
شمار,4716
ارائه,10007
رضا,4691
بدن,4689
میرزا,4687
مدیریت,4870
دی,8469
علم,4667
کل,6352
کشاورزی,4648
دیده,4736
نشر,4635
نیاز,17033
سن,4626
گونه,4820
ارتش,4619
نامه,4604
پرداخت,24304
نمایش,7303
یادکرد,4599
حمله,4593
ترتیب,4556
مشهور,4551
جامعه,4546
موارد,5138
آخرین,7033
کنترل,13231
هنری,4525
شوند,5521
کاهش,4996
رو,65484
تقسیم,4483
دار,5483
آورد,4456
سال‌های,4453
شهری,6852
ناشر,4448
قدیمی,4747
بعضی,4444
عدد,13043
ق,4441
شده‌اند,4441
طرح,57240
صنعتی,4425
دستگاه,5209
عالی,5007
مصر,4402
پهلوی,4375
سنگ,4369
خاطر,4346
ساعت,5543
بخش‌های,4343
دین,4324
مناسبت‌ها,4324
تبریز,4322
بازار,4321
پایه,4318
دهد,6517
فصل,6411
می‌آید,4293
باستان,4281
دختر,4280
پرونده,14076
حاضر,6375
محمود,4266
دانش,4262
بیان,5356
اینترنتی,5636
ارتفاع,4228
بازی‌های,4227
مساحت,4219
پخش,4216
اجرا,5610
داخل,6306
آزادی,4202
البته,4193
پادشاه,4192
می‌دهند,4188
وبگاه,4178
انگلستان,4177
بین‌المللی,4166
همسر,4148
ارتباط,5247
فرزند,4147
انتقال,5646
استان‌های,4141
خاص,6740
د,4327
امور,4526
معرفی,4314
خارجی,4107
نشانی,4105
نور,4099
چشم,4098
انرژی,4592
تعریف,6279
پنج,4979
دادن,5264
میدان,4060
تهیه,6158
عباس,4051
هدف,4249
مصرف,4048
معمولاً,4042
ساختمان,7937
نسخه,10026
فاصله,4026
امروزه,4021
تن,4017
علاوه,4017
نقل,5116
واژه,4016
ماده,4011
بخشی,5102
شرح,5692
کشته,3984
شب,5181
ابتدا,3975
مشخص,6071
موضوع,5970
داشتند,3959
ده,3958
سفید,3955
مارس,3940
ازدواج,3921
کارگردان,3913
سیاه,3908
نخست,4506
نویسندگان,3900
کیلومتری,3899
خاک,3893
مثل,4287
معنای,3984
هنوز,6080
پل,3972
کوتاه,3861
شناسی,3855
ابراهیم,3855
میزان,13151
محلی,3949
سالگی,3848
چهارم,3847
اقتصاد,3844
سفر,3827
ژانویه,3823
مربع,3822
اجرای,4920
مثال,3816
مهدی,3814
سرزمین,3808
فلسفه,3806
اصل,3896
ابن,3789
می‌باشند,3787
نظریه,3772
یاد,3970
اکتبر,3767
خدا,4956
ان,3926
فرد,5922
زیاد,4318
کرده‌است,3716
بریتانیا,3709
‌,3704
جشنواره,3685
ج,3784
شکست,3684
برگزار,3672
کلی,4766
علیه,3660
متولد,3657
اساسی,3955
نمونه,3653
رودخانه,3648
جمهور,3643
زبان‌های,3640
مقدار,7338
انسانی,3636
نظام,3624
معماری,3619
باقی,11519
برجسته,3610
مسیر,5310
کسی,6301
ایشان,3601
مهر,3599
ویکی‌پدیای,3596
درگذشت,3592
کنید,17790
شاعر,3585
فرانسوی,3585
گسترش,3783
رادیو,3578
آوریل,3577
پر,6871
مقابل,3564
مقام,3563
خون,3535
چندین,3835
امکان,15130
نوامبر,3530
منظور,4130
می‌کردند,3514
تحصیل,3511
اغلب,3499
همچون,3497
شخصی,7497
دسته,3497
عامل,3496
دسامبر,3495
عمر,3495
نوعی,3992
دلار,3489
وقتی,5787
بازگشت,4886
می‌رسد,3483
همکاری,4180
دولتی,3473
کسب,5473
تلویزیونی,3471
شوروی,3469
باستانی,3465
ثبت,50565
لیگ,3463
نامیده,3463
موجب,3460
بازیگران,3452
دستور,3743
هفت,4443
گیری,4536
اولیه,6135
هوایی,3427
بندر,3413
نژاد,3411
محسوب,3406
عملیات,4091
عهده,3790
جمع,5485
ناحیه,3384
کشف,3384
یمن,3380
دانشگاه‌های,3379
نو,3378
توضیح,11071
زیرا,3370
حمایت,3368
اطراف,3368
طبق,3667
نفت,3364
نقطه,3364
پایین,3359
ستاره,3355
موزه,3351
محیط,3349
پارک,19346
موفق,3946
دقیقه,3316
لازم,11416
بیست,7016
کنونی,4315
شما,19011
خواننده,3308
فیزیک,3300
دریایی,3300
شیراز,3295
ژاپن,3294
ذکر,3693
خیابان,5792
فروش,4589
تاریخچه,3580
پشت,3376
نیویورک,3275
معاصر,3274
باغ,3266
درمان,3264
شرایط,5263
ایتالیا,3254
سینما,3248
صنایع,3244
استقلال,3240
بهمن,3237
گرم,3336
تیر,3736
قدیم,3225
مشغول,3218
عبارت,3317
گروه‌های,3215
پادشاهی,3214
ساله,3208
یافته,4008
ترک,3205
مسابقات,3195
پاریس,3195
متن,3189
تعیین,4289
ژوئن,3184
مادر,3179
نزدیکی,3174
مکان,3566
تأسیس,3163
میانه,3161
مذهبی,3161
گاه,3160
پایتخت,3157
سالهای,3357
خرداد,3145
دومین,3145
فوریه,3135
درون,3133
جنبش,3132
بندی,4830
ساختار,3125
برنده,3124
سپاه,3124
رضوی,3120
وقت,6019
نقاط,3118
گزارش,17410
فعال,5505
حق,3203
اش,3802
جدا,3094
پنجم,3093
خدمات,11790
عصر,3089
بدست,3886
خلیج,3086
ام,19680
عبدالله,3076
کودکان,3074
اداره,3259
بعدی,4459
جامع,3359
مرحله,7056
دریا,3048
سری,3041
سیاست,3040
زندان,3032
بطور,3026
کاربرد,3023
مدل,3021
وسیله,3019
المپیک,3019
فشار,3018
بلند,3016
المللی,3016
امر,3016
بعدها,3015
مقاله,3010
آموزشی,3406
تو,19201
کمتر,2997
رفته,3495
مراسم,3094
صنعت,2992
دریای,2992
آبی,3686
نرم,3881
تلویزیون,2979
بلکه,2976
به‌,2971
شیعه,2969
رهبری,2967
محله,2966
شش,5261
گروهی,2960
حوزه,4755
امروز,3554
سرانجام,2954
جغرافیایی,2952
عدم,10551
امیر,2949
موسسه,2947
توان,12640
پاپ,2940
دفتر,2939
متفاوت,3539
لحاظ,3036
ساز,3533
مدتی,2931
سبز,3229
کتابخانه,2927
بسته,20320
بنابراین,2912
سلطان,2910
اوت,3003
راست,2903
مجله,2901
دانشجویان,2898
عرب,2896
درخت,2894
دل,2892
تمامی,3391
آتش,2887
تابع,2886
آهنگ,2880
آلمانی,2870
دوباره,8470
خدمت,5765
ثابت,2864
فراهم,3764
مقدس,2863
گرفتن,4862
ورود,10062
بصورت,2960
مطرح,3756
راک,2853
مالی,3050
قتل,2848
فرزندان,2847
رتبه,2847
سبب,2846
شهرت,2845
کشوری,2845
ترکیه,2840
حالی,3038
اسکار,2831
ضد,2831
مه,2829
یونان,2825
نزد,2822
‌ها,2814
سنت,2814
پدرش,2808
روابط,2806
مناسب,2801
هوا,13899
محدود,2896
ابهام‌زدایی,2794
دفاع,2789
سنتی,2771
عربستان,2767
اهمیت,3065
روم,2754
ارومیه,2746
ساده,2746
کرمان,2745
کره,2740
بهره,5839
عشق,2735
می‌گوید,2735
می‌گویند,2728
چپ,2725
معمولا,2723
رمان,2721
شهید,2721
خورشید,2720
تلاش,3018
هاي,2915
ترکیب,2714
یونانی,2714
کارگردانی,2711
حفظ,2705
تجاری,3598
وضعیت,16194
فضایی,2688
دنبال,2988
اصول,2684
جشن,2676
امپراتوری,2670
تحقیقات,2668
ملل,2664
محصولات,2663
می‌توانند,2661
بشر,2659
تاسیس,2658
نیمه,2658
فضای,2655
اقدام,9042
حد,2641
هنگامی,2732
برق,3929
خلق,2626
بدین,2723
ه,2623
یکدیگر,2623
جا,3620
آسیا,2618
کرده‌اند,2617
ژوئیه,2616
حاصل,3514
سخت,2614
اواخر,2612
ایرانیان,2610
رابطه,2910
گوناگون,2610
قوانین,2610
بستک,2607
بزرگی,2603
درآمد,2600
خبر,4892
لندن,2587
مراکز,2584
دادند,2680
سرخ,2572
اعداد,2569
ماهی,2561
بکار,2557
جز,2755
زندگینامه,2550
وزن,2550
مستقل,2542
مشهد,2534
کمی,2529
پیروزی,2527
خمینی,2522
بالای,2621
ايران,2519
خاصی,4018
مشاهده,8017
جوان,2514
گاز,3112
ادبی,2511
فناوری,2706
الدین,2502
صاحب,2600
آنکه,2500
مرتبط,3894
حل,4693
مانده,11993
برده,2492
کاری,9691
قم,2491
بهار,2490
یکم,2489
اختیار,2583
درست,6383
تاکنون,2577
سابق,3375
کشتی,2468
صد,3763
هنرمند,2462
گیاهان,2457
موقعیت,4357
پا,2455
برادر,2454
تعدادی,2454
برج,2453
گیتار,2452
گاهی,2446
باب,2445
خویش,2436
آیت,2433
فنی,18427
صدا,2426
کانادا,2423
کارشناسی,2423
نموده,2522
ششم,2421
آقای,2420
دید,3719
تحصیلات,2416
تصمیم,2915
قاجار,2408
محمدرضا,2403
پرورش,2403
مدیر,3402
استاندارد,2400
پیشین,2399
شاعران,2397
هرمزگان,2397
مشترک,2394
جلوگیری,2492
اخیر,2389
چیزی,3078
کارهای,3175
نمایندگان,2374
تشخیص,2670
برنامه‌های,2369
کلمه,2968
اکثر,2368
بزرگ‌ترین,2365
نبرد,2365
برتر,3763
اتحادیه,2361
دره,2361
اضافه,6759
رهبر,2359
قهرمانی,2354
اینترنت,2653
فوق,2351
ریشه,2346
نبود,2442
سخن,2342
مقاومت,2339
گردد,3436
حساب,47834
شبیه,2333
سعید,2330
مرداد,2330
اجازه,2930
ریاضی,2330
ش,3826
شهریور,2326
زیبا,2325
منجر,2324
امنیت,2324
مسلمانان,2322
ساکن,3822
بیشتری,3820
داشتن,3113
شبه,2312
نقشه,6109
پاسخ,3108
مردان,2307
جاده,2304
پیام,8302
اسماعیل,2301
نتایج,2601
آهن,2299
عبور,5997
براساس,2293
بانک,3091
گذاری,2389
خیلی,4787
کالیفرنیا,2286
شخصیت,2285
ماشین,5285
کد,16979
نگاه,2478
الکتریکی,2266
دسترسی,3865
هدایت,2263
آنچه,2263
مطالعه,2259
حاج,2258
کنیم,9651
ایستگاه,2248
متال,2246
صدای,2346
پرواز,2246
اختلاف,2344
نظیر,2243
مهاجرت,2242
چرا,21841
مسائل,3741
بنام,2541
چشمه,2239
بی‌بی‌سی,2238
خودش,2938
ترکی,2238
پول,13337
قهرمان,2236
توانست,2235
خبرگزاری,2233
حمل,3532
حکم,2229
دینی,2227
يا,2226
کامپیوتر,2224
طبقه,2224
دوست,2824
آذر,2221
کلیسای,2217
ولایت,2211
روشن,2811
جرم,2208
اوایل,2207
هشت,6307
متعلق,2205
تقسیمات,2201
شخص,4200
تأثیر,2199
اتحاد,2198
کتاب‌های,2195
خوانده,2195
محصول,2194
بنیاد,2192
شیمیایی,2192
ارزش,2590
سد,3389
تخت,2189
هایی,6889
رخ,3488
دریاچه,2187
قبلی,2685
گسترده,2180
شمسی,2179
مستقیم,2178
استرالیا,2177
پیشنهاد,2175
بزرگترین,2173
قرمز,2170
مطالعات,2169
همیشه,2268
نقاشی,2167
مهم‌ترین,2166
حقیقت,2365
فی,2162
جنسی,2157
هفته,3354
آبان,2152
عمده,2151
خوانندگان,2150
فرمان,2148
پوشش,2248
مرز,2143
آخر,2543
مبارزه,2143
شدید,2143
بیت,2142
هفتم,2139
بازیکنان,2136
برخوردار,2136
سلطنت,2134
تئاتر,2133
شدت,2232
ترانه,2127
نگهداری,2327
مفهوم,2120
عرضه,2117
اکبر,2114
هوای,2113
متحد,2112
کاخ,2111
جدول,3010
کمونیست,2109
تدریس,2108
عوامل,2101
دادگاه,2100
اردیبهشت,2194
تک,2093
نام‌های,2087
همانند,2087
محسن,2086
تدوین,2083
قالب,2082
گلستان,2073
ورودی,2071
گیلان,2071
پست,2470
تقریباً,2066
عبارتند,2066
اشعار,2065
براي,2858
آفریقا,2056
پروژه,2655
بنابر,2054
نشده,7848
خصوصی,2047
دورهٔ,2043
توزیع,2341
نماید,2040
نماینده,2037
خوبی,4337
رسیدن,2036
ارشد,2034
پیرامون,2034
مسعود,2033
گرفته‌است,2031
شیر,2030
موتور,3229
موسوی,2027
اعدام,2024
حاکم,2024
احتمال,2023
نامزد,2018
اسفند,2018
مشاهیر,2017
اعمال,2716
تفسیر,2015
کردستان,2011
تصویب,2008
میراث,2007
شهرداری,12707
بیمارستان,2005
جایی,3302
خطوط,2797
ظاهر,2896
می‌دانند,1996
آورده,1995
متوسط,1995
روح,1992
نسل,1985
داشته‌است,1983
دانشنامه,1982
سیستان,1979
اتفاق,2076
صلح,1975
بازیکن,1975
آینده,3175
آمریکای,1974
زمینی,1974
کمیته,1971
سینمای,1971
احمدی,1970
مختلفی,1969
فعالیت‌های,1969
تربیت,1964
تگزاس,1964
ملیت,1964
سراسر,1964
ورزشی,3164
نوشتن,1962
دچار,1962
انگلیس,1962
می‌یابد,1958
نواحی,1957
مسلمان,1957
اطلاعاتی,9353
مایکل,1949
رای,2148
برخورد,3348
تازه,3746
نوری,1943
هسته‌ای,1942
مهمترین,1941
منتقل,2338
فرودگاه,1937
نفوذ,1936
ضمن,1934
کسانی,2432
دنیای,1931
تنظیم,2030
طولانی,1928
همدان,1927
گیاه,1926
جو,1926
دشت,1925
گیتاشناسی,1923
دبیرستان,1922
بحث,1921
شاخه,1919
موج,1918
مذهب,1917
رایانه,1911
سومین,1909
خشک,1908
اقیانوس,1907
‌های,1906
تفاوت,2304
پشتیبانی,6401
شهرها,1901
يك,1899
هری,1898
پیامبر,1897
مدرن,1893
حرف,3392
پاکستان,1890
چهل,2190
همواره,1889
کرمانشاه,1889
لباس,1888
واقعی,1882
عناصر,1882
فراوان,2480
متصل,1880
جوانان,1878
نصف‌النهار,1877
زیست,1876
ویلیام,1876
بند,1872
مشکل,12269
دامنه,1866
قطعه,1862
تغییرات,2360
جعفر,1858
مازندران,1857
سلسله,1855
گشت,1855
ورزش,1854
بنای,1853
ضبط,1852
آرامگاه,1850
حیات,2149
خودرو,29949
ویندوز,1847
داریوش,1847
تمدن,1847
عکس,1944
اصطلاح,1843
بهتر,1941
باد,1840
سوره,1839
نصب,5436
شاید,1931
مخصوص,1831
خصوص,3529
صادق,1828
جیمز,1826
دیگران,1825
تابستان,1822
نهایت,2020
کشورها,1819
می‌گیرند,1817
پوست,1816
عادی,2915
تاثیر,1913
دهند,3111
مشابه,2009
نيز,1806
جایگاه,2705
کهن,1804
معین,1803
تحلیل,1799
فراوانی,2198
همچنان,2198
طبیعت,1797
رفتار,1797
سرویس,3197
بلوچستان,1796
ژاپنی,1794
قطب,1791
قابلیت,2288
تجارت,1787
اسید,1786
عهد,1785
جزایر,1784
واکنش,1783
نوشت,1781
فردی,1878
می‌پردازد,1777
خوب,3377
جذب,1775
آمده‌است,1775
تلفن,4375
مشکلات,10975
خداوند,1775
دهخدا,1773
عرض,2972
برگزیده,1772
عمان,1771
رد,1869
شناسایی,4666
نداشت,1865
اروپایی,1764
چینی,1762
بختیاری,1762
خسرو,1761
کوخرد,1761
لبنان,1761
طلایی,1760
دیدگاه,1760
گویش,1758
هواپیما,1757
کنون,1756
تابستانی,1756
پارسی,1752
قانونی,1852
آرام,1750
دربارهٔ,1747
دانشگاهی,1745
به‌عنوان,1744
صورتی,2943
گیرد,2038
ناشی,2237
کافی,2736
کودک,1734
صحنه,1734
رایج,1733
ماند,1727
کلاسیک,1726
دمای,1725
رقص,1723
سرمایه,1722
کردی,4320
سرد,1720
هشتم,1720
نوبل,1720
لاتین,1712
کشت,1710
ابزار,1710
دهنده,1710
علاقه,1809
سینمایی,1708
پلیس,1704
فتح,1704
دیوان,1703
پدیای,1702
مسیح,1701
بازداشت,1700
گنبد,1698
درمانی,1698
هرات,1698
اعتماد,1697
حرفه‌ای,1694
حذف,6393
قلب,1693
فروردین,1692
پیشرفت,2391
آنرا,1690
آسمان,1689
دعوت,1684
رییس,1684
اطلاع,6783
شهرک,2880
بافت,2079
موسی,1679
رایانه‌ای,1679
شیرین,1678
مقایسه,1674
شیمی,1674
کابل,1673
شخصیت‌های,1671
افزار,1871
مسابقه,1670
صفر,2869
بوجود,1669
آل,1669
جانوران,1668
حداقل,1765
روزهای,8665
كرد,1664
لقب,1664
بودجه,1663
اهداف,1661
عملکرد,2959
ویکی‌پدیا,1659
هنرمندان,1658
گونه‌ای,1656
نشریه,1654
ارسال,11354
نهاد,2054
خطی,1653
حضرت,1649
رسیده,4449
اتاق,2048
سریال,1647
گردشگری,1644
موفقیت,2043
مکتب,1643
قیمت,3842
طلا,1640
سقوط,1638
کاملاً,1633
دانشجو,1633
غار,1632
ذخیره,2932
هسته,1631
کن,8331
حافظ,1729
برگزاری,1628
خوش,2828
روسی,1627
شاخص,1624
دقیق,4724
کشیده,1622
طوری,2121
معادل,1620
اتمی,1620
بروز,1719
کیفیت,2519
مکانیک,1618
پدید,1617
وظیفه,1817
خواجه,1614
مقالات,1614
خوزستان,1613
بهرام,1612
قرارداد,2311
مصطفی,1608
تحقیق,1607
هنرهای,1607
گذشت,1606
محمدعلی,1606
هاشمی,1605
سنگی,1605
مهمی,1805
گذاشت,1605
امامزاده,1604
دانشمندان,1604
توصیف,1604
آشنا,1699
اسم,1597
شیوه,1994
تامین,5994
نقد,1591
ویژگی,2791
امکانات,2190
ریاضیات,1589
اختصاص,2586
زمستان,1586
بوده‌اند,1585
هست,19084
توانایی,1583
ناخالص,1582
نمی‌شود,1580
مجمع,1580
روند,2379
جنگی,1576
اطلس,1574
دستی,1571
فلسطین,1570
جنس,1568
قطع,2468
مدار,1568
آواز,1568
همهٔ,1566
شبکه‌های,1565
ساسانی,1565
امروزی,1565
زده,1965
زادهٔ,1564
کاربر,1964
برداری,2263
ظهور,1562
هیئت,1560
پژوهشی,1559
اعتقاد,1559
قادر,1558
آقا,1757
بومی,1557
جدیدی,4055
ساختن,1554
کنگره,1554
کودکی,1554
سعی,1554
محدوده,19852
خطر,1851
جنگل,1549
رفتن,1948
پرسپولیس,1547
قزوین,1546
باور,1646
حفاظت,1543
یهودی,1543
اسناد,4141
کدام,14640
کانال,1539
زرد,1539
رشته‌های,1538
پرندگان,1537
عضویت,1536
خرید,3635
مجموع,1534
اصلاح,3434
رابرت,1530
گذاشته,1529
اسب,1529
صحیح,3229
جی,1728
پای,1528
ب,1526
سنی,1524
مرجع,2822
فعلی,4121
روایت,1521
نهایی,4420
تجربه,1820
فرماندهی,1519
صفوی,1518
شهرستان‌های,1518
پرویز,1517
دیوید,1516
مسئله,1915
زیبایی,1515
مختصات,1515
یهودیان,1513
کوچکی,1511
بیرونی,1511
مجموعه‌ای,1510
واز,1510
آمدن,1509
خاندان,1509
نماز,1509
بیستم,1508
نظارت,1508
قوم,1507
اثبات,1506
بالغ,1504
الگوریتم,1503
دیوار,1502
الکترونیکی,2801
اس,3101
کلید,1501
قصد,1701
میلیارد,1500
خبری,1798
بهبود,1498
تخصصی,3196
يک,1496
بیشترین,1495
هلند,1493
گرفتند,1493
پیوست,1492
قوی,1492
درخواست,15692
فلکی,1491
آفتاب,1490
مشخصات,3989
دبی,1489
اف,1489
قسمتی,1488
مشروطه,1486
مخالفت,1485
پیمان,1785
عثمانی,1484
تصاویر,1979
معاون,1478
معتقد,1478
چوب,1477
پرنده,1475
بعنوان,1473
کتابی,1472
حافظه,1469
جبهه,1468
امتیاز,4468
یزد,1467
احداث,1466
افرادی,1666
کریم,1466
ناصر,1465
نویسی,1463
گیاهی,1462
دهم,12160
ال,1960
ری,2560
ریزی,1458
بنی,1456
باران,1456
مرتضی,1455
اقوام,1455
دستگیر,1454
بینی,1454
فرار,1453
شناخت,1453
گرد,1453
هزینه,15552
تصرف,1451
ورزشگاه,1451
شاهنامه,1449
فیزیکی,1448
آماده,1648
فرمانده,1448
مسیحی,1448
زدن,2546
امنیتی,1444
منطقه‌ای,1444
سریع,1542
ندارند,1941
مادرش,1440
ساحل,1438
لیست,1736
رساند,1435
رم,1635
ارتباطات,1433
مغز,1432
وسایل,4129
است‌,1429
سازهای,1628
کاربردی,1627
پرچم,1427
قطعات,1425
بهداشت,1425
پیر,1422
نحوه,14219
تهیه‌کننده,1419
نجات,1418
دانست,1417
اگرچه,1416
موشک,1414
ستارگان,1413
عبارت‌اند,1413
می‌برد,1412
شیرازی,1412
افتاد,1512
نرم‌افزار,1412
همزمان,1409
ملک,29609
هواپیمای,1409
میل,1407
چیز,4006
دربار,1405
کبیر,1402
اعتراض,3601
ولسوالی,1399
مترجم,1399
کاربران,1899
دیدار,3198
ایالتی,1397
نیم,1397
عنصر,1396
اتصال,1394
نشد,2893
عام,1392
مؤسسه,1391
کلیه,1489
